4K影视,#genre#
CCTV12,http://sport.pendy.dpdns.org/migu/673168185?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV13,http://sport.pendy.dpdns.org/migu/608807423?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV14,http://sport.pendy.dpdns.org/migu/624878440?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV15,http://sport.pendy.dpdns.org/migu/673168223?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV16,http://39.137.75.233/PLTV/88888888/224/3221225782/index.m3u8
CCTV17,http://sport.pendy.dpdns.org/migu/673168256?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV4欧洲,http://sport.pendy.dpdns.org/migu/608807419?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV4美洲,http://sport.pendy.dpdns.org/migu/608807416?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA


CCTV1,http://goo.bkpcp.top/mg/cctv1
CCTV2,http://goo.bkpcp.top/mg/cctv2
CCTV3,http://goo.bkpcp.top/mg/cctv3
CCTV4,http://goo.bkpcp.top/mg/cctv4
CCTV5,http://goo.bkpcp.top/mg/cctv5
CCTV5+,http://goo.bkpcp.top/mg/cctv5p
CCTV6,http://goo.bkpcp.top/mg/cctv6
CCTV7,http://goo.bkpcp.top/mg/cctv7
CCTV8,http://goo.bkpcp.top/mg/cctv8
CCTV9,http://goo.bkpcp.top/mg/cctv9
CCTV10,http://goo.bkpcp.top/mg/cctv10
CCTV11,http://goo.bkpcp.top/mg/cctv11
CCTV12,http://goo.bkpcp.top/mg/cctv12
CCTV13,http://goo.bkpcp.top/mg/cctv13
CCTV14,http://goo.bkpcp.top/mg/cctv14
CCTV15,http://goo.bkpcp.top/mg/cctv15
CCTV16,http://goo.bkpcp.top/mg/cctv16
CCTV17,http://goo.bkpcp.top/mg/cctv17



CCTV1,http://1.24.190.122:1080/hls/1/index.m3u8
CCTV2,http://1.24.190.122:1080/hls/2/index.m3u8
CCTV3,http://1.24.190.122:1080/hls/3/index.m3u8
CCTV4,http://1.24.190.122:1080/hls/4/index.m3u8
CCTV5,http://1.24.190.122:1080/hls/5/index.m3u8
CCTV6,http://1.24.190.122:1080/hls/6/index.m3u8
CCTV7,http://1.24.190.122:1080/hls/7/index.m3u8
CCTV8,http://1.24.190.122:1080/hls/8/index.m3u8
CCTV9,http://1.24.190.122:1080/hls/9/index.m3u8
CCTV10,http://1.24.190.122:1080/hls/10/index.m3u8
CCTV11,http://1.24.190.122:1080/hls/11/index.m3u8
CCTV12,http://1.24.190.122:1080/hls/12/index.m3u8
CCTV13,http://1.24.190.122:1080/hls/13/index.m3u8
CCTV14,http://1.24.190.122:1080/hls/14/index.m3u8
CCTV15,http://1.24.190.122:1080/hls/15/index.m3u8
CCTV16,http://1.24.190.122:1080/hls/16/index.m3u8


CCTV1,http://112.46.105.20:8009/hls/501/index.m3u8
CCTV2,http://112.46.105.20:8009/hls/502/index.m3u8
CCTV3,http://112.46.105.20:8009/hls/3/index.m3u8
CCTV4,http://112.46.105.20:8009/hls/4/index.m3u8
CCTV5,http://112.46.105.20:8009/hls/503/index.m3u8
CCTV5+,http://111.43.126.240:9003/hls/81/index.m3u8
CCTV6,http://112.46.105.20:8009/hls/6/index.m3u8
CCTV7,http://112.46.105.20:8009/hls/504/index.m3u8
CCTV8,http://112.46.105.20:8009/hls/8/index.m3u8
CCTV9,http://112.46.105.20:8009/hls/509/index.m3u8
CCTV10,http://112.46.105.20:8009/hls/506/index.m3u8
CCTV11,http://112.46.105.20:8009/hls/11/index.m3u8
CCTV12,http://112.46.105.20:8009/hls/507/index.m3u8
CCTV13,http://112.46.105.20:8009/hls/13/index.m3u8
CCTV14,http://112.46.105.20:8009/hls/14/index.m3u8
CCTV15,http://112.46.105.20:8009/hls/15/index.m3u8
CCTV16,http://111.43.126.240:9003/hls/86/index.m3u8
CCTV17,http://111.43.126.240:9003/hls/30/index.m3u8







CCTV1,http://8.138.7.223/tv/migu.php?id=cctv1
CCTV2,http://8.138.7.223/tv/migu.php?id=cctv2
CCTV3,http://8.138.7.223/tv/migu.php?id=cctv3
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4a
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4o
CCTV5,http://8.138.7.223/tv/migu.php?id=cctv5
CCTV5+,http://8.138.7.223/tv/migu.php?id=cctv5p
CCTV6,http://8.138.7.223/tv/migu.php?id=cctv6
CCTV7,http://8.138.7.223/tv/migu.php?id=cctv7
CCTV8,http://8.138.7.223/tv/migu.php?id=cctv8
CCTV9,http://8.138.7.223/tv/migu.php?id=cctv9
CCTV10,http://8.138.7.223/tv/migu.php?id=cctv10
CCTV11,http://8.138.7.223/tv/migu.php?id=cctv11
CCTV12,http://8.138.7.223/tv/migu.php?id=cctv12
CCTV13,http://8.138.7.223/tv/migu.php?id=cctv13
CCTV14,http://8.138.7.223/tv/migu.php?id=cctv14
CCTV15,http://8.138.7.223/tv/migu.php?id=cctv15
CCTV17,http://8.138.7.223/tv/migu.php?id=cctv17



优质央视,#genre#
CCTV1,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV1
CCTV2,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV2
CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5+
CCTV6,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV6
CCTV7,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV7
CCTV8,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV8
CCTV9,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV9
CCTV10,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV10
CCTV11,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV11
CCTV12,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV12
CCTV13,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV13
CCTV14,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV14
CCTV15,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV15
CCTV16,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV16
CCTV17,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV17
凤凰中文,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰中文台
凤凰资讯,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰资讯台
凤凰香港,http://qwt.zhibotv.top:2016/全网通.php?id=凤凰香港台
无线新闻,http://qwt.zhibotv.top:2016/全网通.php?id=无线新闻台
翡翠台,http://qwt.zhibotv.top:2016/全网通.php?id=翡翠台



CCTV1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV1,https://cdn5.132.us.kg/live/cctv1/stream.m3u8
CCTV1,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8

CCTV1,http://sport.pendy.dpdns.org/migu/608807420?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV2,http://sport.pendy.dpdns.org/migu/631780532?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV3,http://sport.pendy.dpdns.org/migu/624878271?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV4,http://sport.pendy.dpdns.org/migu/631780421?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV4欧洲,http://sport.pendy.dpdns.org/migu/608807419?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV4美洲,http://sport.pendy.dpdns.org/migu/608807416?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV5,http://sport.pendy.dpdns.org/migu/641886683?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV5+,http://sport.pendy.dpdns.org/migu/641886773?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV6,http://sport.pendy.dpdns.org/migu/624878396?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV7,http://sport.pendy.dpdns.org/migu/673168121?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV8,http://sport.pendy.dpdns.org/migu/624878356?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV9,http://sport.pendy.dpdns.org/migu/673168140?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV10,http://sport.pendy.dpdns.org/migu/624878405?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV11,http://sport.pendy.dpdns.org/migu/667987558?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV12,http://sport.pendy.dpdns.org/migu/673168185?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV13,http://sport.pendy.dpdns.org/migu/608807423?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV14,http://sport.pendy.dpdns.org/migu/624878440?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV15,http://sport.pendy.dpdns.org/migu/673168223?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA
CCTV17,http://sport.pendy.dpdns.org/migu/673168256?token=BCDxUPC2aE0y0iz8JYzYhWA21b8DBPXm4Tw9nHe0T-ftD1MRmsBCXZPPiHXeDz7cNybVmmXGazeeaHKpxyYgEA

CCTV13,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=a4d04c27d0d1d8b7efef2ed7ff1c3eae&txTime=191b60cc9ca

CCTV1,http://58.39.190.143:35455/bptv/10000100000000050000000003864351.m3u8
CCTV2,http://58.39.190.143:35455/bptv/10000100000000050000000003870745.m3u8
CCTV3,http://58.39.190.143:35455/bptv/10000100000000050000000003870746.m3u8
CCTV4,http://58.39.190.143:35455/bptv/10000100000000050000000003870747.m3u8
CCTV5,http://58.39.190.143:35455/bptv/10000100000000050000000003870748.m3u8
CCTV5+,http://58.39.190.143:35455/bptv/10000100000000050000000003870759.m3u8
CCTV6,http://58.39.190.143:35455/bptv/10000100000000050000000003870749.m3u8
CCTV7,http://58.39.190.143:35455/bptv/10000100000000050000000003870750.m3u8
CCTV8,http://58.39.190.143:35455/bptv/10000100000000050000000003870838.m3u8
CCTV9,http://58.39.190.143:35455/bptv/10000100000000050000000003870752.m3u8
CCTV10,http://58.39.190.143:35455/bptv/10000100000000050000000003870753.m3u8
CCTV11,http://58.39.190.143:35455/bptv/10000100000000050000000003870754.m3u8
CCTV12,http://58.39.190.143:35455/bptv/10000100000000050000000003870755.m3u8
CCTV13,http://58.39.190.143:35455/bptv/10000100000000050000000004796248.m3u8
CCTV14,http://58.39.190.143:35455/bptv/10000100000000050000000003870756.m3u8
CCTV15,http://58.39.190.143:35455/bptv/10000100000000050000000003870757.m3u8
CCTV16,http://58.39.190.143:35455/bptv/10000100000000050000000004972604.m3u8
CCTV17,http://58.39.190.143:35455/bptv/10000100000000050000000003870758.m3u8

CCTV1,http://8.138.7.223/tv/migu.php?id=cctv1
CCTV2,http://8.138.7.223/tv/migu.php?id=cctv2
CCTV3,http://8.138.7.223/tv/migu.php?id=cctv3
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4a
CCTV4,http://8.138.7.223/tv/migu.php?id=cctv4o
CCTV5,http://8.138.7.223/tv/migu.php?id=cctv5
CCTV5+,http://8.138.7.223/tv/migu.php?id=cctv5p
CCTV6,http://8.138.7.223/tv/migu.php?id=cctv6
CCTV7,http://8.138.7.223/tv/migu.php?id=cctv7
CCTV8,http://8.138.7.223/tv/migu.php?id=cctv8
CCTV9,http://8.138.7.223/tv/migu.php?id=cctv9
CCTV10,http://8.138.7.223/tv/migu.php?id=cctv10
CCTV11,http://8.138.7.223/tv/migu.php?id=cctv11
CCTV12,http://8.138.7.223/tv/migu.php?id=cctv12
CCTV13,http://8.138.7.223/tv/migu.php?id=cctv13
CCTV14,http://8.138.7.223/tv/migu.php?id=cctv14
CCTV15,http://8.138.7.223/tv/migu.php?id=cctv15
CCTV17,http://8.138.7.223/tv/migu.php?id=cctv17

CCTV1,http://39.137.75.234/000000001000/1000000001000018602/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=no
CCTV4,http://39.137.75.234/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no
CCTV5+,http://39.137.75.234/000000001000/reallive-cctv5plus/index.m3u8?channel-id=ystenlive&Contentid=reallive-cctv5plus&livemode=1&stbId=no
CCTV7,http://39.137.75.234/000000001000/1000000005000265007/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=no
CCTV9,http://39.137.75.234/000000001000/1000000005000265009/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265009&livemode=1&stbId=no
CCTV12,http://39.137.75.234/000000001000/1000000005000265012/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265012&livemode=1&stbId=no
CCTV14,http://39.137.75.234/000000001000/1000000001000021349/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021349&livemode=1&stbId=no
CCTV15,http://39.137.75.234/000000001000/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=no
CCTV17,http://39.137.75.234/000000001000/1000000005000056836/index.m3u8?channel-id=ystenlive&Contentid=1000000005000056836&livemode=1&stbId=no

CCTV1,http://www.cdnstv.com:6398/hls/1/index.m3u8
CCTV2,http://www.cdnstv.com:6398/hls/2/index.m3u8
CCTV3,http://www.cdnstv.com:6398/hls/3/index.m3u8
CCTV4,http://www.cdnstv.com:6398/hls/4/index.m3u8
CCTV5,http://www.cdnstv.com:6398/hls/5/index.m3u8
CCTV6,http://www.cdnstv.com:6398/hls/6/index.m3u8
CCTV7,http://www.cdnstv.com:6398/hls/7/index.m3u8
CCTV8,http://www.cdnstv.com:6398/hls/8/index.m3u8
CCTV9,http://www.cdnstv.com:6398/hls/9/index.m3u8
CCTV10,http://www.cdnstv.com:6398/hls/10/index.m3u8
CCTV11,http://www.cdnstv.com:6398/hls/11/index.m3u8
CCTV12,http://www.cdnstv.com:6398/hls/12/index.m3u8
CCTV13,http://www.cdnstv.com:6398/hls/13/index.m3u8
CCTV14,http://www.cdnstv.com:6398/hls/14/index.m3u8
CCTV15,http://www.cdnstv.com:6398/hls/15/index.m3u8
CCTV17,http://www.cdnstv.com:6398/hls/17/index.m3u8

CCTV1,http://live.nctv.top/DJlio/migu.php?id=cctv1
CCTV2,http://live.nctv.top/DJlio/migu.php?id=cctv2
CCTV3,http://live.nctv.top/DJlio/migu.php?id=cctv3
CCTV4,http://live.nctv.top/DJlio/migu.php?id=cctv4
CCTV5,http://live.nctv.top/DJlio/migu.php?id=cctv5
CCTV6,http://live.nctv.top/DJlio/migu.php?id=cctv6
CCTV7,http://live.nctv.top/DJlio/migu.php?id=cctv7
CCTV8,http://live.nctv.top/DJlio/migu.php?id=cctv8
CCTV9,http://live.nctv.top/DJlio/migu.php?id=cctv9
CCTV10,http://live.nctv.top/DJlio/migu.php?id=cctv10
CCTV11,http://live.nctv.top/DJlio/migu.php?id=cctv11
CCTV12,http://live.nctv.top/DJlio/migu.php?id=cctv12
CCTV13,http://live.nctv.top/DJlio/migu.php?id=cctv13
CCTV14,http://live.nctv.top/DJlio/migu.php?id=cctv14
CCTV15,http://live.nctv.top/DJlio/migu.php?id=cctv15
CCTV17,http://live.nctv.top/DJlio/migu.php?id=cctv17

CCTV1,http://221.213.91.64:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://221.213.91.64:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://221.213.91.64:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://221.213.91.64:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://221.213.91.64:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://221.213.91.64:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://221.213.91.64:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://221.213.91.64:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://221.213.91.64:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://221.213.91.64:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://221.213.91.64:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://221.213.91.64:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://221.213.91.64:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://221.213.91.64:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
